probe_id,mean_control,mean_dmd,log2FC
34471_at,4.320852124833333,13.744169022500003,9.42331689766667
205940_at,5.229859279166667,13.85388417,8.624024890833333
206717_at,5.4315399876666675,13.735485979375003,8.303945991708336
202311_s_at,4.0356832045,10.616063990562502,6.580380786062502
209875_s_at,2.5159645354999998,9.046366153125,6.5304016176249995
203649_s_at,4.725318985,11.253786554625002,6.528467569625001
205145_s_at,5.006958434166667,11.375034528062498,6.368076093895831
230867_at,2.9529509898333335,9.05511375475,6.102162764916667
215389_s_at,4.180008107333333,10.118654389187503,5.93864628185417
229800_at,5.379424676666667,11.217419443125001,5.837994766458334
238047_at,2.6637098506666663,8.4678984449375,5.804188594270833
205336_at,2.716888634,8.46425771225,5.747369078249999
226213_at,3.2996897566666665,8.6920669955,5.392377238833333
205381_at,4.994916850666667,10.32470442225,5.329787571583334
202310_s_at,8.170674525666666,13.457238211249999,5.286563685583333
218730_s_at,4.7404766035,9.963355282812499,5.222878679312498
202404_s_at,8.91077811,14.0389541625,5.128176052499999
226311_at,3.554981473333333,8.599152055375,5.044170582041668
222722_at,5.332714902999999,10.357110918375001,5.024396015375002
202965_s_at,5.595180134666666,10.61360769625,5.018427561583334
202238_s_at,6.701734706333333,11.694012127499999,4.992277421166666
228750_at,4.458685374833333,9.385307769874997,4.926622395041663
233690_at,3.7237367651666666,8.6321710760625,4.908434310895833
201909_at,7.517827418166667,12.406258397500002,4.888430979333335
202454_s_at,3.306336178,8.182425334625,4.8760891566249995
225242_s_at,6.639128918333333,11.4715118725,4.832382954166667
211161_s_at,9.344232770333333,14.145801864999997,4.8015690946666645
215446_s_at,2.9372004405,7.6777170785,4.740516638
202237_at,8.045341074333333,12.763005343125002,4.717664268791669
226847_at,3.0025572995,7.7130970083124994,4.710539708812499
204607_at,2.857309523333333,7.526318479187499,4.669008955854166
212865_s_at,4.446575531666666,9.1089388051875,4.6623632735208345
227061_at,5.648308358,10.303632603687499,4.655324245687498
204948_s_at,3.1256613726666664,7.7691121491874995,4.643450776520833
225911_at,4.6221958423333325,9.219737774437501,4.597541932104169
1556499_s_at,9.768382835333334,14.344215570625,4.575832735291666
213791_at,4.001221622666667,8.576661429312502,4.575439806645835
222288_at,4.491899432666667,9.0269926435625,4.535093210895832
218824_at,3.272960466666666,7.7968178825,4.523857415833334
203868_s_at,4.236632566,8.746805222312501,4.510172656312501
