entrez_id,mean_log2FC,n_probes,gene_symbol
57335.0,-0.08147594341666668,6,ZNF286A /// ZNF286B
7596.0,-0.08147763862499868,2,ZNF45
6305.0,-0.08149726037499985,5,SBF1
29085.0,-0.08151383168750126,2,PHPT1
80298.0,-0.08154915306249899,2,MTERF2
167691.0,-0.08154973612500038,3,LCA5
100423041.0,-0.08157443437499978,1,MIR4296
10300.0,-0.08158367779166742,3,KATNB1
112399.0,-0.08160121431250023,2,EGLN3
51593.0,-0.08161035569999982,5,SRRT
159.0,-0.08161862975000034,2,ADSS
7551.0,-0.08163518596874997,4,ZNF3
8721.0,-0.0816564868749996,2,EDF1
55069.0,-0.08169354924999883,2,TMEM248
57616.0,-0.08171185824999982,2,TSHZ3
101927929.0,-0.08174396950000062,1,LOC101927929
53407.0,-0.08176391712500042,1,STX18
55212.0,-0.08176493275000007,2,BBS7
64766.0,-0.08181594150000038,2,S100PBP
10562.0,-0.08182939699999991,1,OLFM4
9732.0,-0.08186155062499918,3,DOCK4
9567.0,-0.08189382802499967,5,GTPBP1
84245.0,-0.08189425187500077,2,MRI1
3683.0,-0.08191712249999972,2,ITGAL
7347.0,-0.0819291246249989,1,UCHL3
51606.0,-0.08194264349999998,3,ATP6V1H
10825.0,-0.08194480140624993,4,NEU3
8726.0,-0.08197218887499935,2,EED
60625.0,-0.0820475892500004,3,DHX35
401207.0,-0.08204782453124981,4,C5orf63
643866.0,-0.0821232545000008,1,CBLN3
146691.0,-0.0821253339583327,3,TOM1L2
7186.0,-0.08212692462499982,1,TRAF2
79811.0,-0.08213200037499924,1,SLTM
84993.0,-0.0821539862500007,1,UBL7
54508.0,-0.08217765125000032,1,EPB41L4A-AS2
246721.0,-0.08245809850000008,1,POLR2J2
2247.0,-0.0824679405625004,2,FGF2
3516.0,-0.08247086733333282,3,RBPJ
1063.0,-0.08247771216666644,3,CENPF
359948.0,-0.0824961082499998,5,IRF2BP2
84262.0,-0.08250962537499884,1,PSMG3
4087.0,-0.08253323987499968,6,SMAD2
91316.0,-0.08263093766666652,3,GUSBP11
10084.0,-0.08265563758333272,3,PQBP1
4258.0,-0.08268084037499968,1,MGST2
203547.0,-0.08268391162500022,3,VMA21
23061.0,-0.08268605096874948,4,TBC1D9B
64419.0,-0.082697280250001,2,MTMR14
10250.0,-0.08271544774999962,2,SRRM1
5803.0,-0.08272508499999986,1,PTPRZ1
81563.0,-0.08277953657499974,5,C1orf21
26135.0,-0.08278412717857046,7,SERBP1
1133.0,-0.08280318049999957,1,CHRM5
256158.0,-0.08283128321875033,4,HMCN2
2065.0,-0.08283707107500042,5,ERBB3
57680.0,-0.08288774362500106,1,CHD8
103352539.0,-0.08291105431250023,2,LINC01410
57082.0,-0.08293437468750009,4,CASC5
79139.0,-0.08293677896875107,4,DERL1
3419.0,-0.0829391797500012,3,IDH3A
28951.0,-0.08299397962500077,2,TRIB2
253725.0,-0.08300803384375,4,FAM21C /// LOC101930591
253725.0,-0.08300803384375,4,FAM21A /// FAM21C /// LOC101930591
84547.0,-0.08303127212499994,1,PGBD1
145853.0,-0.0830531324999999,1,C15orf61
5866.0,-0.08312961449999978,1,RAB3IL1
54874.0,-0.08315324212499942,1,FNBP1L
22993.0,-0.08318186993749999,2,HMGXB3
55324.0,-0.08319077700000044,1,ABCF3
221154.0,-0.08321023250000081,1,MICU2
147947.0,-0.08322408956250049,2,ZNF542P
100128252.0,-0.08330817100000054,1,ZNF667-AS1
164633.0,-0.08336088262500008,2,CABP7
6883.0,-0.08339067575000048,1,TAF12
7709.0,-0.08339253900000054,2,ZBTB17
51523.0,-0.08339425037500033,3,CXXC5
57542.0,-0.08343161825000056,3,KLHL42
2186.0,-0.08344315269999995,5,BPTF
9953.0,-0.08344372737499987,3,HS3ST3B1
120526.0,-0.08345907937499986,2,DNAJC24
221184.0,-0.08347977262500095,1,CPNE2
55844.0,-0.08348892518750017,2,PPP2R2D
7090.0,-0.08350193815624996,4,TLE3
5527.0,-0.08351270489583291,6,PPP2R5C
587.0,-0.08355113081249987,2,BCAT2
100131303.0,-0.08356444312499978,1,LOC100131303
203430.0,-0.08358563912499983,1,ZCCHC5
6634.0,-0.08358991925000048,1,SNRPD3
100507398.0,-0.08365173318750041,2,INTS6-AS1
6873.0,-0.08369314012500073,2,TAF2
114898.0,-0.08373901787499971,1,C1QTNF2
6916.0,-0.08374404718749995,2,TBXAS1
6793.0,-0.08375459158333316,3,STK10
7138.0,-0.08375702375000316,1,TNNT1
51185.0,-0.08376431287500097,2,CRBN
80094.0,-0.08378609787500002,1,BIN3-IT1
549.0,-0.08383758599999958,1,AUH
23119.0,-0.08384725865624976,4,HIC2
8986.0,-0.08385375743750023,2,RPS6KA4
285636.0,-0.08385863443750008,2,C5orf51
10169.0,-0.08389159604999996,5,HYPK /// MIR1282 /// SERF2
10169.0,-0.08389159604999996,5,HYPK /// MIR1282 /// SERF2 /// SERF2-C15ORF63
10474.0,-0.08391259437500032,2,TADA3
