probe_id,log2FC
1007_s_at,0.17173295974999903
1053_at,-0.23128929750000005
117_at,-0.21928246412499863
121_at,0.10232800649999962
1255_g_at,0.0
1294_at,-0.251479018375
1316_at,0.12437810712499875
1320_at,0.11731127537500008
1405_i_at,-0.7554218618749999
1431_at,-0.030110533124999783
1438_at,0.1176234694999998
1487_at,-0.03808108574999913
1494_f_at,0.04831184887500006
1552256_a_at,-0.2724298403750005
1552257_a_at,0.014313182249999556
1552258_at,0.022046715375000137
1552261_at,0.01709943249999979
1552263_at,-0.04996526774999932
1552264_a_at,0.4713706293750004
1552266_at,-0.030300551874999915
1552269_at,0.0006624188749997373
1552271_at,-0.0039816690000002986
1552272_a_at,-0.0011907559999997375
1552274_at,0.06721402037499935
1552275_s_at,0.03267121687499852
1552276_a_at,-0.008307585499999881
1552277_a_at,-0.24600027487499965
1552278_a_at,0.0009665267500000851
1552279_a_at,0.09984854662500053
1552280_at,0.0
1552281_at,-0.012870633999999992
1552283_s_at,0.23087351287499924
1552286_at,-0.15182742162499974
1552287_s_at,-0.07733991312499988
1552288_at,-0.0873935729999995
1552289_a_at,-0.0025888432499998615
1552291_at,0.03004826075000011
1552293_at,-0.0012955178750000407
1552295_a_at,-0.10237794174999948
1552296_at,0.0
1552299_at,0.09262239962500018
1552301_a_at,-0.022596949999998728
1552302_at,0.15881913750000098
1552303_a_at,0.022236102499999966
1552304_at,0.01010178037499987
1552306_at,-0.03204879424999918
1552307_a_at,0.10520315325000018
1552309_a_at,0.00945178999999996
1552310_at,-0.6996638170000002
1552311_a_at,0.06526806737499946
1552312_a_at,0.2781835842499989
1552314_a_at,0.013907455000000013
1552315_at,0.15671205462500026
1552316_a_at,-0.09078677637499766
1552318_at,0.2778888966250008
1552319_a_at,-0.038797124624999846
1552320_a_at,0.07996258337499995
1552321_a_at,0.0005940891250002522
1552322_at,0.03144247287500024
1552323_s_at,0.14297838812499997
1552325_at,0.01567467362499997
1552326_a_at,-0.004369167375000149
1552327_at,-0.27659681525000046
1552329_at,-0.08531837124999964
1552330_at,-0.2672334677499988
1552332_at,0.02709481887499976
1552334_at,-0.20429661212499894
1552335_at,0.0
1552337_s_at,0.0021829352500000176
1552338_at,0.00026014100000004703
1552340_at,-0.018552562874999623
1552343_s_at,-0.030830458250000525
1552344_s_at,0.016234679000000085
1552347_at,-0.10426011674999991
1552348_at,0.02839341750000024
1552349_a_at,-0.0027201835000001395
1552354_at,0.002731792625000118
1552355_s_at,0.0
1552359_at,-0.030897664999999908
1552360_a_at,0.09877140100000004
1552362_a_at,-0.225150636375
1552364_s_at,0.11881805175000038
1552365_at,0.16071874449999957
1552367_a_at,-0.09655465949999975
1552368_at,0.0047111262499996975
1552370_at,0.06171437100000077
1552372_at,-0.00015178024999995543
1552373_s_at,0.017298001749999514
1552375_at,0.019295682375000123
1552377_s_at,0.10345721299999999
1552378_s_at,0.009687273499999982
1552379_at,0.004522579500000123
1552381_at,0.059645969249999986
1552383_at,0.020556064750000935
1552384_a_at,0.0
1552386_at,-0.04278731175000017
1552388_at,-0.0005435029999998342
1552389_at,-0.03773782237500001
1552390_a_at,0.0016101150000000786
1552391_at,-0.0377929196250002
1552393_at,0.0007114226249997913
1552394_a_at,0.0
1552395_at,0.06024070050000008
1552396_at,0.0
1552398_a_at,0.05396526437500038
1552399_a_at,-0.18385806150000006
1552400_a_at,0.025176601625000572
1552401_a_at,0.003241465750000394
1552402_at,-0.9051856498749995
1552405_at,0.0
1552408_at,0.0054130361249997705
1552409_a_at,0.11505417112499972
1552410_at,0.0
1552411_at,0.0
1552412_a_at,0.0
1552414_at,0.0003528177500000673
1552415_a_at,0.0
1552417_a_at,0.02113430562499996
1552418_at,0.0
1552419_s_at,-0.00011252612500012305
1552421_a_at,0.0
1552422_at,-0.2512581056250007
1552423_at,-0.14114436637499983
1552424_at,0.019299764124999896
1552425_a_at,0.01118226524999999
1552426_a_at,-0.013724479249999533
1552427_at,-0.03467904850000014
1552430_at,0.007856529375000143
1552432_at,0.00038135187500021317
1552436_a_at,0.0
1552438_a_at,0.0
1552439_s_at,0.004512527124999721
1552440_at,0.001519133249999971
1552445_a_at,-0.0002272016250000064
1552448_a_at,0.0
1552449_a_at,0.003408131875000109
1552450_a_at,0.0
1552452_at,0.004760407000000022
1552453_a_at,0.05870374650000043
1552455_at,0.3160799875000011
1552456_a_at,-0.0010330256249999614
1552457_a_at,0.0
1552458_at,-0.012819828125000043
1552459_a_at,0.0061377424999999874
1552461_at,0.0
1552463_at,-0.002493032500000325
1552466_x_at,0.0
1552467_at,-0.015081844250000032
1552468_a_at,0.0009663880000001512
1552470_a_at,0.05580659937500032
1552472_a_at,-0.03020416512500068
1552473_at,0.04419620212500064
1552474_a_at,-0.3797238108749976
1552476_s_at,-0.2063587262500004
1552477_a_at,0.061030193875000194
1552478_a_at,0.0
1552480_s_at,0.01787937437500009
1552481_s_at,0.03492849787499974
1552482_at,-0.0890658583749997
1552484_at,0.0
1552485_at,0.24179069162500078
1552486_s_at,0.2139560429999996
1552487_a_at,0.14701538700000016
1552489_s_at,-0.007903120374999961
1552490_at,-0.09777932962499936
1552491_at,-0.3086015043750008
1552493_s_at,0.0007399284999998201
1552494_at,0.0
1552496_a_at,-0.01379301500000052
1552497_a_at,-0.00010258000000007428
1552498_at,0.118402986125
1552499_a_at,-0.006798382875000009
1552501_a_at,-0.0002088793750001372
1552502_s_at,0.0
1552503_at,0.0
1552504_a_at,0.0942340458750004
1552506_at,0.0
1552507_at,0.0
1552508_at,-0.006232479124999912
1552509_a_at,0.06437818462499934
1552510_at,0.0
1552511_a_at,0.0
1552514_at,0.0008483641249998897
1552515_at,0.04360187937499971
1552516_a_at,0.2100943348749995
1552518_s_at,-0.0017050648749998842
1552519_at,1.8781698472500006
1552520_at,-0.004243764875
1552521_a_at,0.03816438287499979
1552522_at,-0.031487148125000086
1552523_a_at,0.14450624450000005
1552524_at,-0.35057226425000065
1552526_at,0.0
1552528_at,0.0
1552531_a_at,0.0004534727500002944
1552532_a_at,-0.004390267625000277
1552535_at,0.0
1552536_at,0.05797000587500056
1552538_a_at,0.0
1552540_s_at,0.00045955837499978003
1552541_at,0.059447234249999426
1552542_s_at,-0.0034734314999997906
1552543_a_at,-0.025555089375000062
1552544_at,-0.08939686262499968
1552546_a_at,-0.008875355249999828
1552548_at,0.000697320250000022
1552549_a_at,0.06312305925000006
1552552_s_at,0.0011549961249999185
1552553_a_at,-0.09109440637499988
1552554_a_at,0.0
1552555_at,-0.11093327625000038
1552557_a_at,0.17410394799999995
1552558_a_at,0.0
1552559_a_at,-0.011976577250000009
1552562_at,0.03280429862500034
1552563_a_at,-0.023234961499999596
1552564_at,0.17193380724999985
1552566_at,0.0
1552568_at,0.01584411600000024
1552569_a_at,0.01414846549999993
1552570_at,-0.006785404875000012
1552572_a_at,0.019084848124999443
1552573_s_at,0.045352195375000015
1552575_a_at,-0.004126487250000199
1552576_at,0.00029323862499985864
1552578_a_at,-0.0034245801249999097
1552579_a_at,-0.0062706846250000225
1552580_at,-0.0060082427499996705
1552582_at,-0.00424121162500013
1552583_s_at,0.0
1552584_at,-0.05270361537500001
1552585_s_at,-0.000640182125000166
1552586_at,-0.0024043443749999227
1552587_at,0.05441240049999996
1552588_a_at,0.0
1552590_a_at,0.0
1552592_at,0.0
1552594_at,0.020759411374999814
1552596_at,0.0
1552598_at,0.00011967187499983822
1552599_at,0.0
1552602_at,0.12840979837500033
1552604_at,0.0
1552605_s_at,0.004078076874999947
1552607_at,0.1263800296250004
1552608_at,0.0
1552609_s_at,0.006732794749999993
1552610_a_at,0.1777367250000026
1552611_a_at,0.4324869951249992
1552612_at,-0.08825301512499983
1552613_s_at,-0.27352977899999953
1552615_at,0.007735304999999748
1552616_a_at,-0.14274860962499947
1552617_a_at,-0.1270704408750003
1552618_at,-0.06896136837499967
1552619_a_at,0.05055807037499971
1552620_at,0.348143495125
1552621_at,0.20849757549999914
1552622_s_at,0.20714918525000048
1552623_at,0.012238699750000137
1552625_a_at,0.26837507037500075
1552626_a_at,0.11629361775000024
1552627_a_at,-0.010383297749999798
1552628_a_at,-0.05942572887499864
1552629_a_at,0.0
1552630_a_at,0.0008707999999999494
1552631_a_at,-0.005438081499999914
1552632_a_at,-0.03861638000000012
1552633_at,-0.05490515199999901
1552634_a_at,0.1754890772500004
1552637_at,0.0
1552639_at,0.0
1552641_s_at,-0.2725677206249997
